,continentEnglishName,countryEnglishName,currentConfirmedCount,confirmedCount,curedCount,deadCount
225,Asia,Palestine,32297,65802,32944,561
226,North America,,1,19,18,0
227,Asia,China,11,960,936,13
228,North America,,7,10,3,0
229,Asia,,1,31,30,0
230,Asia,China,6,1297,1290,1
231,Asia,China,1,264,261,2
232,Asia,China,0,373,367,6
233,Asia,China,0,182,180,2
234,Asia,China,0,289,287,2
235,North America,,0,13,12,1
236,North America,,4,16,12,0
237,Europe,Status Civitatis Vaticanae,26,26,0,0
238,Asia,China,0,992,986,6
239,Asia,China,0,1020,1016,4
240,Asia,China,0,980,977,3
241,Asia,China,3,935,931,1
242,Asia,China,0,157,155,2
243,Asia,China,0,46,46,0
244,Asia,China,0,171,165,6
245,Asia,Turkmenistan,0,0,0,0
246,Asia,China,0,147,145,2
247,Europe,,30,31,0,1
248,North America,Saint Barthelemy,3,3,0,0
249,Africa,Reunion Island,6,6,0,0
250,Asia,China,0,75,75,0
251,Others,Grand Princess,21,21,0,0
252,Europe,United Kingdom of Great Britain and Ireland,12,20,8,0
253,Europe,United Kingdom,12,20,8,0
254,Europe,Northern Ireland,1,1,0,0
255,Asia,China,0,18,18,0
256,Asia,China,0,1,1,0
